ref_no,hist_ref_no
42334,33944
42396,20859
42495,42381
42572,1318
43103,43178
43214,40703
43220,38990
43251,36183
43274,43086
43291,43103
43421,19834
43525,39822
43588,37044
43599,43246
43663,40645
43669,22468
43902,43865
43966,40281
44002,38770
44050,42192
44182,42241
44193,50919
44332,28331
44346,42958
44364,40114
44430,40663
44437,44350
44540,42359
44695,41631
44837,40552
44854,44345
44899,44287
44915,40586
44988,29008
45023,41860
45035,44028
45197,41758
45212,41750
45287,43813
45302,39786
45317,39959
45370,44030
45402,40911
45454,43990
45464,44486
45471,43998
45481,42884
45495,42883
45571,42409
45673,12268
45686,41130
45697,41140
45743,41202
45794,41808
45797,40385
45829,41031
45857,42445
45867,41340
45886,41370
46069,43332
46083,43345
46114,23000
46144,44725
46160,45990
46243,39984
46281,39929
46288,46134
46380,42053
46442,40683
46515,41247
46607,40261
46687,40526
46732,39898
46824,40862
46841,40868
47024,40214
47039,40192
47114,46554
47191,44312
47199,44427
47266,47265
47431,44799
47586,22599
47618,45013
47624,41504
47728,41984
47809,41057
47869,44558
47952,42729
48012,41683
48326,44362
48403,48404
48442,47833
48552,45802
48671,47205
48707,45825
48738,45598
48772,45603
48808,47331
48918,46525
49102,49101
49116,48888
49120,46799
49242,42936
49507,45930
49577,49110
49683,49838
49747,44552
49760,44560
49793,49761
49814,47879
49848,46250
50076,24236
50089,47887
50093,48530
50139,48725
50232,45439
50293,48316
50362,43889
50457,47085
50581,43062
50590,49103
50734,50733
50864,50861
51008,51007
51148,43838
51154,39427
51216,39473
51324,45284
51550,5560
52203,49144
52217,50049
951,43045
10523,48272
14216,50144
22006,48253
23502,50155
27468,49474
37889,48456
39134,49934
39476,39510
40302,4774
40304,4914
40612,40611
40785,23604
40985,7415
41711,5184
41731,39849
41758,33770
42071,41831
42072,41832
42326,22846
42903,40467
43141,23288
43153,40817
43165,33191
43276,43088
43297,43108
43332,43143
43362,43173
43382,36109
43414,42786
43574,26749
43712,40313
43727,40321
43885,42127
44003,18713
44082,51214
44261,41380
44418,40371
44467,40742
44479,43019
44589,43546
44765,43672
44804,41638
44878,43033
44900,40581
44921,42638
44930,42855
44938,39205
44962,17480
44991,41540
45003,12680
45112,2448
45193,33244
45214,41736
45224,28475
45401,40033
45496,44488
45626,42072
45699,13466
